"Company Name","Parent Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Legal Name","Record Type","Census Block Group","Company Description","Primary SIC Code","Primary NAICS","Type of Business","Latitude","Longitude"
"Hills Market","","","","71 E Wilson Bridge Rd # A1","Worthington","OH","43085","HILLS MARKET DOWNTOWN","Verified","1","","541110","44511009","Private","040.107112","-083.013977"
"Midway Drive Thru","","Alaa S","Altawalba","1145 Harrisburg Pike","Columbus","OH","43223","MIDWAY DRIVE THUR","Verified","1","","541110","44511009","Private","039.932819","-083.047694"
"Walmart Supercenter","WALMART INC","John","Gussler","6674 Winchester Blvd","Canal Winchester","OH","43110","","Verified","1","Shop Your Local Walmart For A Wide Selection Of Items IN Electronics, Home Furniture & Appliances, Toys, Clothing, Baby Gear, Video Games, And More - Helping You Save Money And Live Better.","531102","45511001","Branch of Public Company","039.854640","-082.826026"
"Walmart Supercenter","WALMART INC","Richard","Lundquist","1221 Georgesville Rd","Columbus","OH","43228","","Verified","2","Shop Your Local Walmart For A Wide Selection Of Items IN Electronics, Home Furniture & Appliances, Toys, Clothing, Baby Gear, Video Games, And More - Helping You Save Money And Live Better.","531102","45511001","Branch of Public Company","039.926930","-083.120554"
"Walmart Supercenter","WALMART INC","Daniela","Rodriguez","2700 Bethel Rd","Columbus","OH","43220","","Verified","2","Shop Your Local Walmart For A Wide Selection Of Items IN Electronics, Home Furniture & Appliances, Toys, Clothing, Baby Gear, Video Games, And More - Helping You Save Money And Live Better.","531102","45511001","Branch of Public Company","040.067172","-083.089916"
"Walmart Supercenter","WALMART INC","Tara","Lester","3900 Morse Rd","Columbus","OH","43219","","Verified","2","Shop Your Local Walmart For A Wide Selection Of Items IN Electronics, Home Furniture & Appliances, Toys, Clothing, Baby Gear, Video Games, And More - Helping You Save Money And Live Better.","531102","45511001","Branch of Public Company","040.060508","-082.913130"
"Walmart Supercenter","WALMART INC","Kory","Shinlever","5200 Westpointe Plaza Dr","Columbus","OH","43228","","Verified","1","Shop Your Local Walmart For A Wide Selection Of Items IN Electronics, Home Furniture & Appliances, Toys, Clothing, Baby Gear, Video Games, And More - Helping You Save Money And Live Better.","531102","45511001","Branch of Public Company","039.983176","-083.145067"
"Walmart Supercenter","WALMART INC","Richard","Lundquist","5900 Britton Pkwy","Dublin","OH","43016","","Verified","3","Shop Your Local Walmart For A Wide Selection Of Items IN Electronics, Home Furniture & Appliances, Toys, Clothing, Baby Gear, Video Games, And More - Helping You Save Money And Live Better.","531102","45511001","Branch of Public Company","040.074028","-083.137618"
"Walmart Supercenter","WALMART INC","Stan","Fulk","7730 Sawmill Rd","Dublin","OH","43016","","Verified","1","Shop Your Local Walmart For A Wide Selection Of Items IN Electronics, Home Furniture & Appliances, Toys, Clothing, Baby Gear, Video Games, And More - Helping You Save Money And Live Better.","531102","45511001","Branch of Public Company","040.123491","-083.087117"
"Walmart Supercenter","WALMART INC","John","Kent","1693 Stringtown Rd","Grove City","OH","43123","","Verified","2","Shop Your Local Walmart For A Wide Selection Of Items IN Electronics, Home Furniture & Appliances, Toys, Clothing, Baby Gear, Video Games, And More - Helping You Save Money And Live Better.","531102","45511001","Branch of Public Company","039.875256","-083.042694"
"Walmart Supercenter","WALMART INC","Jennifer","Wingo","50 E Schrock Rd","Westerville","OH","43081","","Verified","1","Shop Your Local Walmart For A Wide Selection Of Items IN Electronics, Home Furniture & Appliances, Toys, Clothing, Baby Gear, Video Games, And More - Helping You Save Money And Live Better.","531102","45511001","Branch of Public Company","040.111316","-082.923926"
"Walmart Supercenter","WALMART INC","Tony","Vussa","3657 E Main St","Whitehall","OH","43213","","Verified","2","Shop Your Local Walmart For A Wide Selection Of Items IN Electronics, Home Furniture & Appliances, Toys, Clothing, Baby Gear, Video Games, And More - Helping You Save Money And Live Better.","531102","45511001","Branch of Public Company","039.954135","-082.900505"
