"Company Name","Parent Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Legal Name","Record Type","Census Block Group","Company Description","Primary SIC Code","Primary NAICS","Type of Business","Latitude","Longitude"
"Cam International Market","","Jay","Yang","3767 Park Mill Run Dr","Hilliard","OH","43026","","Verified","2","Cam","541107","44511006","Private","040.031528","-083.121688"
"Hills Market","","Amanda","Anderson","7860 Olentangy River Rd","Columbus","OH","43235","","Verified","3","We Are A Locally-Owned Specialty Grocery Store IN Columbus, Ohio. We Feature Beer And Wine Tastings, As Well As Locally Grown And Gourmet Foods. We Love Food, Ohio And Our Community. We Have Local Events Daily And Offer Great Themed Nights As Well. Check Out Our Large Selection Today!","541105","44511003","Private","040.125040","-083.036570"
"Hills Market Downtown","","Amanda","Anderson","95 N Grant Ave","Columbus","OH","43215","","Verified","3","A Locally-Owned Specialty Grocery Store IN Columbus, Ohio. We Feature Beer And Wine Tastings, As Well As Locally Grown And Gourmet Foods. We Love Food, Ohio And Our Community. We Have Local Events Daily And Offer Great Themed Nights As Well. Check Out Our Large Selection Today!","541105","44511003","Private","039.965370","-082.991853"
"HTH Farm Market","","","","2340 W Dublin Granville Rd","Columbus","OH","43235","","Verified","3","Ohio Produce, Amish Cheese, Local Baked Goods","526122","45521902","Private","040.090664","-083.052843"
"Patel Brothers","PATEL BROTHERS","Jayesh","Patel","6600 Sawmill Rd","Columbus","OH","43235","","Verified","1","Patel Brothers' Mission Is To Bring The Best Ingredients From Around The World, Right To Your Doorstep. With A Wide Variety Of Authentic Regional Grocery, Spices, And International Produce. We Strive To Connect People With The Familiar Flavors Of India.","541105","44511003","Private","040.103144","-083.089425"
"Sunrise International Market","","Leonard","Jarvis","4030 W Broad St","Columbus","OH","43228","SUNRISE INTERNATIONAL MARKET","Verified","2","","541105","44511003","Private","039.955600","-083.108690"
"Tommy's Jerky Outlet","","","","3461 Broadway","Grove City","OH","43123","TOMMY'S JERKY OUTLET","Verified","1","Featuring Over 60 Different Varieties Of All-Natural Handcrafted Gourmet Jerky And Smokies (Traditional Sticks) All Made IN Ohio, With A Wealth Of Flavors And Variety Of Meats.","599931","45521939","Private","039.893505","-083.084533"
"Trader Joe's","TRADER JOE'S","Genevieve","Gulledge","3888 Townsfair Way","Columbus","OH","43219","","Verified","1","Trader Joe's Is A Privately Held Chain Of Specialty Grocery Stores Headquartered IN Monrovia, Calif. The Company Operates More Than 280 Stores IN Various Cities Throughout The United States, Including Columbus, Ohio. Founded IN 1958, Trader Joe S Sells A Variety Of Products, Such As Gourmet, Organic, Vegetarian, Frozen And Imported Foods, As Well As Domestic And Imported Wines. Its Alternative Food Items Include Breads, Cereals, Eggs And Other Products. Trader Joe S Also Offers Nonfood Items, Including Personal Hygiene Products, Household Cleaners, Vitamins, Pet Food Items, And Plants And Flowers. The Company Is Also One Of The Exclusive Retailers Of Charles Shaw Wine.","541105","44511003","Private","040.049344","-082.918221"
"Trader Joe's","TRADER JOE'S","Lucas","Schmidt","6355 Sawmill Rd","Dublin","OH","43017","","Verified","2","Trader Joe's Is A Privately Held Chain Of Specialty Grocery Stores Headquartered IN Monrovia, Calif. The Company Operates More Than 280 Stores IN Various Cities Throughout The United States, Including Dublin, Ohio. Founded IN 1958, Trader Joe S Sells A Variety Of Products, Such As Gourmet, Organic, Vegetarian, Frozen And Imported Foods, As Well As Domestic And Imported Wines. Its Alternative Food Items Include Breads, Cereals, Eggs And Other Products. Trader Joe S Also Offers Nonfood Items, Including Personal Hygiene Products, Household Cleaners, Vitamins, Pet Food Items, And Plants And Flowers. The Company Is Also One Of The Exclusive Retailers Of Charles Shaw Wine.","541105","44511003","Private","040.096375","-083.093199"
"Vincenzo's Convenient Elegance","","Louis","Bonfante","6393 Sawmill Rd","Dublin","OH","43017","VINCENZO'S","Verified","2","Our Italian Market Has A Lot To Offer. We Know That Our Customers Are Busy And Do Not Always Have Time To Cook Dinner, But Still Want Great Homemade Quality Italian Food. Everything Is Made Fresh Using The Old World Process And Nothing But Top Notch Ingredients. You'Ll Love Our Fresh Made Breads, Hand-Rolled Meatballs, And All The Other Great Italian Favorites On Our Menu. We Are Also Open For Lunch, So You Can Skip The Usual Take Out.While You Are Picking Up Your Meal, Browse Our Wide Variety Of Wines. We Will Make Sure To Help You Pick The Bottle That Matches Your Order And Your Preferences.","541105","44511003","Private","040.097156","-083.093437"
"Yasmin International Market","","Mutee","Hamayel","5444 Cleveland Ave","Columbus","OH","43231","","Verified","2","","541107","44511006","Private","040.080929","-082.950660"
