"Company Name","Parent Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Legal Name","Record Type","Census Block Group","Company Description","Primary SIC Code","Primary NAICS","Type of Business","Latitude","Longitude"
"23 Mart","","Dave","Benedum","6301 S High St","Lockbourne","OH","43137","","Verified","4","","554101","45712003","Private","039.831668","-083.000944"
"3-C Food Mart","","Shailesh","Patel","5825 Sawmill Rd","Dublin","OH","43017","","Verified","1","","541105","44511003","Private","040.086175","-083.092972"
"3c Plus Food Mart","","Abraham","Hejini","1790 Morse Rd","Columbus","OH","43229","","Verified","4","","541103","44513101","Private","040.061953","-082.971996"
"Adult Supermart","","","","5410 W Broad St","Columbus","OH","43228","","Verified","1","","531104","45511003","Private","039.951763","-083.145004"
"Africa Supermarket","","","","3639 E Livingston Ave","Columbus","OH","43227","","Verified","3","","531104","45511003","Private","039.944899","-082.898689"
"African Market Plus","","Penda","Sillah","4415 Crossroads Ctr","Columbus","OH","43232","AFRICAN MARKET PLUS INC","Verified","1","","541105","44511003","Private","039.920371","-082.878128"
"Afrique Food Warehouse","","","","4376 Karl Rd","Columbus","OH","43224","","Verified","5","","541105","44511003","Private","040.056089","-082.975203"
"Ai-Mustafa Market & Bakery","","","","5435 Bethel Sawmill Ctr","Columbus","OH","43235","","Verified","4","","541105","44511003","Private","040.065951","-083.094260"
"ALDI","ALDI INC","Russ","White","720 W Waterloo St","Canal Winchester","OH","43110","","Verified","1","Visit Your Canal Winchester Aldi For Low Prices On Groceries And Home Goods. From Fresh Produce And Meats To Organic Foods, Beverages And Other Award-Winning Items, Aldi Makes The Flavorful Affordable. Plus, With New Limited-Time Aldi Finds Added To Shelves Each Week, Theres Always Something New To Discover. Shop Online With Curbside Pickup OR Delivery, OR Swing By Your Neighborhood Market At 720 W Waterloo St To Start Saving On Quality Products.","541105","44511003","Private","039.856345","-082.825744"
"ALDI","ALDI INC","Samantha","Deridder","1331 W Mound St","Columbus","OH","43223","","Verified","2","Visit Your Columbus Aldi For Low Prices On Groceries And Home Goods. From Fresh Produce And Meats To Organic Foods, Beverages And Other Award-Winning Items, Aldi Makes The Flavorful Affordable. Plus, With New Limited-Time Aldi Finds Added To Shelves Each Week, Theres Always Something New To Discover. Shop Online With Curbside Pickup OR Delivery, OR Swing By Your Neighborhood Market At 1331 W Mound St To Start Saving On Quality Products.","541105","44511003","Private","039.945478","-083.034099"
"ALDI","ALDI INC","","","2296 Morse Rd","Columbus","OH","43229","","Verified","1","Visit Your Columbus Aldi For Low Prices On Groceries And Home Goods. From Fresh Produce And Meats To Organic Foods, Beverages And Other Award-Winning Items, Aldi Makes The Flavorful Affordable. Plus, With New Limited-Time Aldi Finds Added To Shelves Each Week, Theres Always Something New To Discover. Shop Online With Curbside Pickup OR Delivery, OR Swing By Your Neighborhood Market At 2296 Morse Rd To Start Saving On Quality Products.","541105","44511003","Private","040.061154","-082.959578"
"ALDI","ALDI INC","Linda","Laeufer","2395 Silver Dr","Columbus","OH","43211","","Verified","3","Visit Your Columbus Aldi For Low Prices On Groceries And Home Goods. From Fresh Produce And Meats To Organic Foods, Beverages And Other Award-Winning Items, Aldi Makes The Flavorful Affordable. Plus, With New Limited-Time Aldi Finds Added To Shelves Each Week, Theres Always Something New To Discover. Shop Online With Curbside Pickup OR Delivery, OR Swing By Your Neighborhood Market At 2395 Silver Dr. To Start Saving On Quality Products.","541105","44511003","Private","040.012699","-082.995449"
