"Company Name","Parent Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Legal Name","Record Type","Census Block Group","Company Description","Primary SIC Code","Primary NAICS","Type of Business","Latitude","Longitude"
"Fitness & Nutrition Ctr","","Kirsten","Corcoran","2440 Canterbury Rd","Columbus","OH","43221","","Verified","3","Start The Path To A Healthier You. We Carry A Vast Selection Of Supplements, Vitamins, And Health Foods. We Also Understand That The Options Can Be A Bit Overwhelming At Times And Everyone's Needs Are Different But Our Knowledgeable Staff Is Always Willing To Help Point You IN The Right Direction And Find The Perfect Fit For You! We Also Carry Essential Oils And Other Aroma Therapy Products As Well As Our Own Health Beauty Line! Stop IN Today And Experience Shoppertainment For Better Health!","549901","45619103","Private","040.013071","-083.076895"
"Hills Market Downtown","","Amanda","Anderson","95 N Grant Ave","Columbus","OH","43215","","Verified","3","A Locally-Owned Specialty Grocery Store IN Columbus, Ohio. We Feature Beer And Wine Tastings, As Well As Locally Grown And Gourmet Foods. We Love Food, Ohio And Our Community. We Have Local Events Daily And Offer Great Themed Nights As Well. Check Out Our Large Selection Today!","541105","44511003","Private","039.965370","-082.991853"
"Hsu & Co Health Foods","","","","4355 Morse Rd","Gahanna","OH","43230","","Verified","4","","549903","44529830","Private","040.055053","-082.884571"
"Meijer Pharmacy","MEIJER INC","Carolyn","Vallette","1661 Hilliard Rd","Columbus","OH","43228","","Verified","2","Fill Your Family's Prescriptions Right Where You Shop IN Columbus, Oh. Get Free Select Prescribed Antibiotics And Prenatal Vitamins At Your Local Meijer Pharmacy (Subject To Quantity Limitations. See A Pharmacist For Details.). We Offer Flu Shots, Immunizations And Health Screening Services, With No Appointment Necessary. Prescribed Pet Meds And Drug Takeback Kiosks Are Also Available.","591205","45611009","Private","039.935867","-083.138631"
"Meijer Pharmacy","MEIJER INC","Kevin","Dicler","5050 N Hamilton Rd","Columbus","OH","43230","","Verified","2","Fill Your Family's Prescriptions Right Where You Shop IN Columbus, Oh. Get Free Select Prescribed Antibiotics And Prenatal Vitamins At Your Local Meijer Pharmacy (Subject To Quantity Limitations. See A Pharmacist For Details.). We Offer Flu Shots, Immunizations And Health Screening Services, With No Appointment Necessary. Prescribed Pet Meds And Drug Takeback Kiosks Are Also Available.","591205","45611009","Private","040.060870","-082.860104"
"Meijer Pharmacy","MEIJER INC","Dessie","Szklany","6175 Sawmill Rd","Dublin","OH","43017","","Verified","2","Fill Your Family's Prescriptions Right Where You Shop IN Dublin, Oh. Get Free Select Prescribed Antibiotics And Prenatal Vitamins At Your Local Meijer Pharmacy (Subject To Quantity Limitations. See A Pharmacist For Details.). We Offer Flu Shots, Immunizations And Health Screening Services, With No Appointment Necessary. Prescribed Pet Meds And Drug Takeback Kiosks Are Also Available.","591205","45611009","Private","040.092602","-083.094177"
"Meijer Pharmacy","MEIJER INC","Brian","Glover","2811 London Groveport Rd","Grove City","OH","43123","","Verified","2","Fill Your Family's Prescriptions Right Where You Shop IN Grove City, Oh. Get Free Select Prescribed Antibiotics And Prenatal Vitamins At Your Local Meijer Pharmacy (Subject To Quantity Limitations. See A Pharmacist For Details.). We Offer Flu Shots, Immunizations And Health Screening Services, With No Appointment Necessary. Prescribed Pet Meds And Drug Takeback Kiosks Are Also Available.","591205","45611009","Private","039.836620","-083.080722"
"Meijer Pharmacy","MEIJER INC","Jonathan","Jones","8000 E Broad St","Reynoldsburg","OH","43068","","Verified","2","Fill Your Family's Prescriptions Right Where You Shop IN Reynoldsburg, Oh. Get Free Select Prescribed Antibiotics And Prenatal Vitamins At Your Local Meijer Pharmacy (Subject To Quantity Limitations. See A Pharmacist For Details.). We Offer Flu Shots, Immunizations And Health Screening Services, With No Appointment Necessary. Prescribed Pet Meds And Drug Takeback Kiosks Are Also Available.","591205","45611009","Private","039.988260","-082.788156"
"Vitamin Shoppe","FRANCHISE GROUP INC","Jerry","Cooperrider","1505 Hilliard Rome Rd","Columbus","OH","43228","","Verified","2","Lifelong Wellness Starts Here At The Vitamin Shoppe Columbus Located At 1505 Hilliard Rome Road. Stop By And You'Ll Find A Huge Assortment Of Quality Vitamins, Supplements, Proteins, Healthy Weight Support, Cbd Hemp Extract, On-The-Go-Drinks, Superfoods, Natural Beauty Products, And More. Have Questions? Our Health Enthusiasts Are Ready To Recommend High-Quality Nutritional And Self-Care Solutions From The Most Innovative Brands, As Well As Expert Guidance To Support Any Health Goal. As Always, Buy Online And You'Ll Get Free IN-Store Pick Up At This Location Plus 700+ Stores Across The Country.","549904","45619106","Private","039.982261","-083.151913"
"Vitamin Shoppe","FRANCHISE GROUP INC","Don","Cofer","1540 Olentangy River Rd","Columbus","OH","43212","","Verified","2","Lifelong Wellness Starts Here At The Vitamin Shoppe Columbus Located At 1540 Olentangy River Rd. Stop By And You'Ll Find A Huge Assortment Of Quality Vitamins, Supplements, Proteins, Healthy Weight Support, Cbd Hemp Extract, On-The-Go-Drinks, Superfoods, Natural Beauty Products, And More. Have Questions? Our Health Enthusiasts Are Ready To Recommend High-Quality Nutritional And Self-Care Solutions From The Most Innovative Brands, As Well As Expert Guidance To Support Any Health Goal. As Always, Buy Online And You'Ll Get Free IN-Store Pick Up At This Location Plus 700+ Stores Across The Country.","549904","45619106","Private","039.991631","-083.025808"
