,NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract
0,Census Tract 1.10; Franklin County; Ohio,1803,31,45,15,10,79,45,16,12,39,131,120,245,203,153,272,387,39,049,000110
1,Census Tract 1.20; Franklin County; Ohio,1698,49,13,31,69,18,11,91,25,64,43,82,229,175,88,301,409,39,049,000120
2,Census Tract 2.10; Franklin County; Ohio,1571,0,26,10,33,17,146,58,24,16,65,27,159,294,174,249,273,39,049,000210
3,Census Tract 2.20; Franklin County; Ohio,1918,25,0,19,76,0,10,154,34,18,54,146,174,249,254,248,457,39,049,000220
4,Census Tract 3.10; Franklin County; Ohio,1219,53,7,114,11,114,84,40,17,42,102,174,181,120,72,63,25,39,049,000310
5,Census Tract 3.20; Franklin County; Ohio,1347,55,9,49,71,91,55,69,39,261,156,94,285,52,29,21,11,39,049,000320
6,Census Tract 3.30; Franklin County; Ohio,1087,51,42,69,112,95,110,37,53,34,71,142,137,31,60,35,8,39,049,000330
7,Census Tract 4.10; Franklin County; Ohio,1183,0,20,36,29,14,55,45,66,31,51,189,211,138,83,105,110,39,049,000410
8,Census Tract 4.20; Franklin County; Ohio,1614,22,71,5,8,64,48,24,174,38,81,127,177,98,118,321,238,39,049,000420
9,Census Tract 5; Franklin County; Ohio,2129,122,58,100,21,34,36,172,53,29,62,232,377,164,234,294,141,39,049,000500
10,Census Tract 6; Franklin County; Ohio,1740,74,65,52,39,84,78,36,76,70,255,221,202,177,134,143,34,39,049,000600
11,Census Tract 7.10; Franklin County; Ohio,1383,113,78,107,41,100,41,118,31,254,101,93,177,82,31,8,8,39,049,000710
12,Census Tract 7.20; Franklin County; Ohio,1080,105,139,75,82,50,138,43,12,47,44,137,130,45,18,15,0,39,049,000720
13,Census Tract 7.30; Franklin County; Ohio,1339,175,248,156,39,49,166,28,77,102,100,74,110,0,15,0,0,39,049,000730
14,Census Tract 8.10; Franklin County; Ohio,1220,40,50,141,53,96,51,32,23,59,110,94,251,93,94,33,0,39,049,000810
15,Census Tract 8.20; Franklin County; Ohio,1614,63,113,92,76,63,49,32,166,54,193,109,295,103,118,43,45,39,049,000820
16,Census Tract 9.10; Franklin County; Ohio,1240,136,137,69,48,45,121,24,108,73,114,38,193,61,37,36,0,39,049,000910
17,Census Tract 9.20; Franklin County; Ohio,703,65,152,83,39,42,42,30,42,58,16,12,41,29,0,48,4,39,049,000920
18,Census Tract 10; Franklin County; Ohio,2089,352,122,190,128,100,71,71,0,0,264,129,385,92,110,34,41,39,049,001000
19,Census Tract 11.10; Franklin County; Ohio,1056,342,35,64,90,121,44,61,42,31,48,75,60,6,6,31,0,39,049,001110
20,Census Tract 11.21; Franklin County; Ohio,50,3,4,3,5,5,20,0,0,0,0,0,0,0,0,10,0,39,049,001121
21,Census Tract 11.22; Franklin County; Ohio,521,106,18,22,28,47,23,9,44,7,12,115,14,24,29,14,9,39,049,001122
22,Census Tract 12; Franklin County; Ohio,1208,207,61,77,60,138,76,49,66,57,144,39,124,30,43,18,19,39,049,001200
23,Census Tract 13.01; Franklin County; Ohio,1077,103,34,135,62,82,10,16,75,101,49,66,169,21,82,65,7,39,049,001301
24,Census Tract 13.02; Franklin County; Ohio,581,181,70,30,33,22,74,81,32,5,16,11,0,13,0,0,13,39,049,001302
25,Census Tract 14; Franklin County; Ohio,528,102,43,56,42,49,45,25,19,48,43,10,0,0,29,0,17,39,049,001400
26,Census Tract 15; Franklin County; Ohio,738,147,68,27,11,35,55,59,17,54,90,117,43,0,15,0,0,39,049,001500
27,Census Tract 16; Franklin County; Ohio,1203,193,70,28,7,54,79,130,40,45,60,125,93,82,101,50,46,39,049,001600
28,Census Tract 17; Franklin County; Ohio,1667,380,178,37,83,33,58,148,56,17,114,141,97,109,97,72,47,39,049,001700
29,Census Tract 18.10; Franklin County; Ohio,1750,435,197,77,352,164,121,45,50,8,61,48,83,24,25,27,33,39,049,001810
30,Census Tract 18.20; Franklin County; Ohio,1264,53,15,75,7,59,56,29,121,103,106,108,94,60,53,151,174,39,049,001820
31,Census Tract 19.01; Franklin County; Ohio,2144,279,94,42,42,42,109,59,83,33,209,287,247,278,51,96,193,39,049,001901
32,Census Tract 19.02; Franklin County; Ohio,2850,144,29,83,175,86,214,104,77,263,317,274,344,277,95,238,130,39,049,001902
33,Census Tract 20; Franklin County; Ohio,1666,62,46,9,10,11,21,28,0,71,96,108,234,184,110,270,406,39,049,002000
34,Census Tract 21; Franklin County; Ohio,1465,51,14,0,75,24,72,70,72,41,63,118,156,112,233,49,315,39,049,002100
