id,income,location
0,27500.0,POINT (-83.03995852018552 40.10627434593109)
1,32500.0,POINT (-83.0438126109525 40.105233197898094)
2,37500.0,POINT (-83.04185431477009 40.09201688406267)
3,42500.0,POINT (-83.03784231994499 40.094271627063534)
4,47500.0,POINT (-83.04376372275223 40.106704459222684)
5,52500.0,POINT (-83.05121131848216 40.10567648919148)
6,52500.0,POINT (-83.03883073789181 40.110636887035625)
7,57500.0,POINT (-83.04237432600826 40.093610806491995)
8,57500.0,POINT (-83.05061400353374 40.100027027478625)
9,62500.0,POINT (-83.04187823657357 40.092355792593516)
10,62500.0,POINT (-83.0414327567265 40.11188660281662)
11,67500.0,POINT (-83.04713913598458 40.09185428510788)
12,67500.0,POINT (-83.04350712353467 40.11124937828385)
13,72500.0,POINT (-83.04134038805324 40.10564527209259)
14,72500.0,POINT (-83.05153226416914 40.109037625972704)
15,77500.0,POINT (-83.04264962944384 40.09110582612129)
16,77500.0,POINT (-83.05495383506852 40.103869261031164)
17,82500.0,POINT (-83.04431915398864 40.094959587166755)
18,82500.0,POINT (-83.03916375856583 40.11203197668049)
19,82500.0,POINT (-83.05374737427394 40.100185420118116)
20,87500.0,POINT (-83.0492495329262 40.110170832929875)
21,87500.0,POINT (-83.05273791646307 40.09279593432142)
22,87500.0,POINT (-83.04409239334012 40.093122319131915)
23,92500.0,POINT (-83.04362294104186 40.09750107970014)
24,92500.0,POINT (-83.0438640515303 40.09411747094394)
25,92500.0,POINT (-83.03937026282259 40.09926759811935)
26,97500.0,POINT (-83.04286994638329 40.09072946041305)
27,97500.0,POINT (-83.05200549047082 40.102163466414275)
28,97500.0,POINT (-83.03839606456633 40.106921185499715)
29,102500.0,POINT (-83.04663591990453 40.09639688778125)
30,102500.0,POINT (-83.04997461974114 40.10506723863871)
31,102500.0,POINT (-83.03656114570391 40.08980716200129)
32,107500.0,POINT (-83.03929211832958 40.091080212142046)
33,107500.0,POINT (-83.03618461469547 40.101195675844586)
34,107500.0,POINT (-83.04944629818381 40.11104843600121)
35,112500.0,POINT (-83.03707430684852 40.09059187443778)
36,112500.0,POINT (-83.03711783810937 40.09119258202469)
37,112500.0,POINT (-83.04468493459547 40.09436960773909)
38,117500.0,POINT (-83.05059421629399 40.09481177113151)
39,117500.0,POINT (-83.04372805587722 40.091199506645104)
40,117500.0,POINT (-83.04963827269518 40.10436830708327)
41,122500.0,POINT (-83.05053203176271 40.10382472680734)
42,122500.0,POINT (-83.03681087830653 40.09755867362489)
43,122500.0,POINT (-83.05396483856597 40.10583023118244)
44,127500.0,POINT (-83.04245905888642 40.11153712611748)
45,127500.0,POINT (-83.0410812901857 40.110444999235305)
46,127500.0,POINT (-83.03549953287545 40.109392957983005)
47,132500.0,POINT (-83.03726214375368 40.10032604360634)
48,132500.0,POINT (-83.04475865365085 40.103076742091126)
49,132500.0,POINT (-83.05138788900325 40.109048257279696)
50,137500.0,POINT (-83.04710140755843 40.110318426953874)
51,137500.0,POINT (-83.04983463085902 40.10616711524339)
52,137500.0,POINT (-83.03784016462785 40.09932833498204)
53,142500.0,POINT (-83.0521311361026 40.098259280565735)
54,142500.0,POINT (-83.04936288403586 40.09184160308645)
55,142500.0,POINT (-83.04416406689654 40.111848673955095)
56,147500.0,POINT (-83.04768119792513 40.09140295228222)
57,147500.0,POINT (-83.04658873120853 40.09773772292857)
58,152500.0,POINT (-83.0379400627862 40.112254579849804)
59,152500.0,POINT (-83.05309656202277 40.096415155012785)
60,157500.0,POINT (-83.03554345602318 40.109420289505024)
61,157500.0,POINT (-83.04387943693432 40.10460426368193)
62,162500.0,POINT (-83.05366044240982 40.10801682611531)
63,162500.0,POINT (-83.05321281512731 40.10953635526903)
64,167500.0,POINT (-83.05243661052278 40.10485827821675)
65,167500.0,POINT (-83.0354295345508 40.10664485689729)
66,172500.0,POINT (-83.04785066886825 40.10228792835925)
67,177500.0,POINT (-83.04323846420965 40.10565189879509)
68,182500.0,POINT (-83.03589209769619 40.1114983417269)
69,187500.0,POINT (-83.0496153494588 40.09270698753462)
70,192500.0,POINT (-83.03602515734738 40.101555867913696)
71,197500.0,POINT (-83.04379946201396 40.1074491117033)
72,37500.0,POINT (-83.07539790350226 40.00271519562797)
73,42500.0,POINT (-83.07189664663997 40.00505777051476)
74,47500.0,POINT (-83.06565597314449 39.99751834918296)
75,52500.0,POINT (-83.07625951964775 40.00375500216813)
76,57500.0,POINT (-83.08034493439048 40.0027054140756)
77,62500.0,POINT (-83.07403506832048 40.005498669192384)
78,62500.0,POINT (-83.06127462358535 40.00114360960752)
79,67500.0,POINT (-83.08096088215586 40.000180925833966)
80,67500.0,POINT (-83.08160596304752 40.003211605730684)
81,72500.0,POINT (-83.06790520767674 40.00157050038527)
82,72500.0,POINT (-83.054474209491 40.002201472646384)
83,77500.0,POINT (-83.04617807216805 40.006877060583896)
84,77500.0,POINT (-83.06713532928728 40.00462122243528)
85,82500.0,POINT (-83.05421950041658 40.00248264618913)
86,82500.0,POINT (-83.06434572097396 40.00149126999378)
87,87500.0,POINT (-83.0754754292465 40.00052981456903)
88,87500.0,POINT (-83.07452421355937 40.00266712025142)
89,92500.0,POINT (-83.04555104977297 40.00688577900332)
90,92500.0,POINT (-83.07471571635902 40.002459471278165)
91,97500.0,POINT (-83.06402731228897 40.00272959237803)
92,97500.0,POINT (-83.05227487222908 40.00230396136789)
93,102500.0,POINT (-83.0491726364584 40.002792134803926)
94,102500.0,POINT (-83.06044198176711 40.0019360101043)
95,102500.0,POINT (-83.0696199119469 40.00691218533952)
96,107500.0,POINT (-83.05107282305394 40.0058364024479)
97,107500.0,POINT (-83.05167287988654 40.00183461936438)
98,112500.0,POINT (-83.07755880751161 40.001935093846534)
99,112500.0,POINT (-83.07104927984074 40.00641993255201)
100,117500.0,POINT (-83.06764021920661 40.007090652564436)
101,117500.0,POINT (-83.07844075153949 40.002547121278354)
102,122500.0,POINT (-83.07485211347627 40.00482875330823)
103,122500.0,POINT (-83.06595366546618 40.00057733121314)
104,127500.0,POINT (-83.0717899168969 40.002920566247255)
105,127500.0,POINT (-83.07195057768936 40.00180288577938)
106,132500.0,POINT (-83.06036477239252 40.00377879510651)
107,132500.0,POINT (-83.05551743171294 40.004045133239316)
108,137500.0,POINT (-83.0570390959305 40.00695076840444)
109,137500.0,POINT (-83.06682920770244 40.00589017488964)
110,142500.0,POINT (-83.07375830777922 40.00338635529018)
111,147500.0,POINT (-83.06002201191754 40.0058289957013)
112,152500.0,POINT (-83.0790411177929 40.0002602402528)
113,157500.0,POINT (-83.05915775091216 40.001284809117486)
114,162500.0,POINT (-83.0800385613414 39.99919402115368)
115,167500.0,POINT (-83.08030193469308 39.999506015268416)
116,32500.0,POINT (-83.07085872165048 39.99606993069509)
117,37500.0,POINT (-83.05516003300177 39.9967793336179)
118,42500.0,POINT (-83.06774239700496 39.99211327155986)
119,47500.0,POINT (-83.06227915100828 39.99497237841679)
120,52500.0,POINT (-83.05198425122299 39.99668848444375)
121,57500.0,POINT (-83.07222395455439 39.99476360030808)
122,57500.0,POINT (-83.05898829318281 39.99001428592546)
123,62500.0,POINT (-83.07167848313577 39.995467829720916)
124,62500.0,POINT (-83.060734639912 39.99537463728173)
125,67500.0,POINT (-83.0569377719786 39.990873505639975)
126,67500.0,POINT (-83.05019249361615 39.99526037270987)
127,72500.0,POINT (-83.06023655183057 39.9966581640968)
128,72500.0,POINT (-83.06554951968559 39.997211531293196)
129,77500.0,POINT (-83.06201816165745 39.990545945092386)
130,77500.0,POINT (-83.06461340938263 39.992910331284314)
131,82500.0,POINT (-83.0572626878949 39.993533094548816)
132,82500.0,POINT (-83.0544419913437 39.99318815494417)
133,87500.0,POINT (-83.06376238623454 39.99450485666757)
134,87500.0,POINT (-83.0489430543838 39.992556663336224)
135,87500.0,POINT (-83.06692762345843 39.99696344476232)
136,92500.0,POINT (-83.05964401156483 39.99495448329358)
137,92500.0,POINT (-83.05841077715799 39.99595673765235)
138,92500.0,POINT (-83.05180239307337 39.9975596352949)
139,97500.0,POINT (-83.05298328302314 39.993993373687346)
140,97500.0,POINT (-83.06039134564344 39.996131720969274)
141,97500.0,POINT (-83.0586241328829 39.99345997904995)
142,102500.0,POINT (-83.06505535508852 39.99373794119429)
143,102500.0,POINT (-83.04897026540341 39.999998899579936)
144,102500.0,POINT (-83.06740307483867 39.99396913835596)
145,107500.0,POINT (-83.07102234179565 39.993546718384444)
146,107500.0,POINT (-83.05992126694021 39.9900847104278)
147,107500.0,POINT (-83.06022550147115 39.997988717896426)
148,112500.0,POINT (-83.05711585153736 39.99385617808771)
149,112500.0,POINT (-83.0537965225585 39.99898689219116)
150,112500.0,POINT (-83.05440405117142 39.99738212798778)
151,117500.0,POINT (-83.0691481380682 39.991531572498204)
152,117500.0,POINT (-83.05369856445475 39.99485021574432)
153,117500.0,POINT (-83.05325971043365 39.99503243860415)
154,122500.0,POINT (-83.07622762130762 39.997975837876055)
155,122500.0,POINT (-83.05731631337622 39.99457787283686)
156,127500.0,POINT (-83.049388613406 40.000018744868214)
157,127500.0,POINT (-83.06912881414021 39.994527453624485)
158,132500.0,POINT (-83.06718785354478 39.99377833748833)
159,132500.0,POINT (-83.05432332432162 39.99322421970361)
160,137500.0,POINT (-83.049101246006 39.997355887331196)
161,137500.0,POINT (-83.0519194914552 39.99477665638582)
162,142500.0,POINT (-83.07230052679633 39.99697294084551)
163,142500.0,POINT (-83.05929747383875 39.99461673777525)
164,147500.0,POINT (-83.06906166377475 39.99540239805383)
165,147500.0,POINT (-83.05104946541618 39.9999043425157)
166,152500.0,POINT (-83.05712147155309 40.00173992341495)
167,157500.0,POINT (-83.06680576716246 39.99682884280378)
168,162500.0,POINT (-83.0639440262672 39.99036783763877)
169,167500.0,POINT (-83.0672409038209 39.99375587003636)
170,172500.0,POINT (-83.05161579668489 39.99979023736789)
171,2500.0,POINT (-83.01148664904228 40.08563815167109)
172,7500.0,POINT (-83.01204920739727 40.088474401062356)
173,12500.0,POINT (-83.00752305683525 40.090005846797)
174,17500.0,POINT (-83.01212027558839 40.086483338283514)
175,22500.0,POINT (-83.00956108020628 40.091933511237784)
176,27500.0,POINT (-83.01480059962319 40.08462753832855)
177,27500.0,POINT (-83.00962382186572 40.0935545111852)
178,32500.0,POINT (-83.01840731983891 40.08733214174973)
179,32500.0,POINT (-83.00752079914439 40.093223255717675)
180,37500.0,POINT (-83.01320504659377 40.08505848523526)
181,37500.0,POINT (-83.01606492513115 40.08275814771327)
182,42500.0,POINT (-83.00860344893036 40.088404834964734)
183,42500.0,POINT (-83.0159518442317 40.09261952095013)
184,47500.0,POINT (-83.01070380742911 40.08553127119445)
185,47500.0,POINT (-83.00916699711972 40.088636360153934)
186,47500.0,POINT (-83.01220186946372 40.08754246972493)
187,52500.0,POINT (-83.00546003270877 40.08839571315566)
188,52500.0,POINT (-83.01081597773411 40.09023943293049)
189,52500.0,POINT (-83.00582791830558 40.09114435216808)
190,57500.0,POINT (-83.00535671984419 40.09044711723961)
191,57500.0,POINT (-83.01646972388853 40.08840382934226)
192,57500.0,POINT (-83.0216925640361 40.09058197430995)
193,62500.0,POINT (-83.0144192094469 40.083047427046566)
194,62500.0,POINT (-83.01602014693357 40.08296291314963)
195,62500.0,POINT (-83.01677037110522 40.08473199423475)
196,67500.0,POINT (-83.00678065209107 40.0894422846739)
197,67500.0,POINT (-83.01493098213334 40.083885537041155)
198,67500.0,POINT (-83.01577141223177 40.090057317065835)
199,72500.0,POINT (-83.00967114907743 40.090258177920916)
200,72500.0,POINT (-83.01522095512483 40.08039386993076)
201,72500.0,POINT (-83.01142758691924 40.08405589515227)
202,77500.0,POINT (-83.00720015756013 40.08955467882295)
203,77500.0,POINT (-83.02011205341579 40.09222385876615)
204,77500.0,POINT (-83.00880335892218 40.09051032471984)
205,82500.0,POINT (-83.01897543835727 40.083629236420684)
206,82500.0,POINT (-83.00811908538667 40.09136617089467)
207,82500.0,POINT (-83.00995414830965 40.084969339821384)
208,87500.0,POINT (-83.00980343343889 40.0893363969837)
209,87500.0,POINT (-83.017497586013 40.0877923921795)
210,87500.0,POINT (-83.01272670704387 40.0882657275464)
211,92500.0,POINT (-83.0132256679093 40.08714664992766)
212,92500.0,POINT (-83.01395287008225 40.087005598502856)
213,92500.0,POINT (-83.00409815355317 40.0917192159608)
214,97500.0,POINT (-83.01311639053793 40.085283531315035)
215,97500.0,POINT (-83.00691119578731 40.09317552584012)
216,97500.0,POINT (-83.01657332331172 40.087926953489834)
217,102500.0,POINT (-83.01312378630907 40.0843915111953)
218,102500.0,POINT (-83.01175242700171 40.093502435926)
219,102500.0,POINT (-83.01525932084701 40.08394320927263)
220,107500.0,POINT (-83.01883122441791 40.092834325145056)
221,107500.0,POINT (-83.01501879814032 40.0896680394264)
222,107500.0,POINT (-83.019933617272 40.08628585345263)
223,112500.0,POINT (-83.01756222060904 40.08911398705846)
224,112500.0,POINT (-83.01490343395449 40.0846198496867)
225,112500.0,POINT (-83.0168426842379 40.08505909845185)
226,117500.0,POINT (-83.01116702239214 40.08505639381229)
227,117500.0,POINT (-83.02169162031907 40.08465844881898)
228,117500.0,POINT (-83.01764124137894 40.081131611551776)
229,122500.0,POINT (-83.00886664526041 40.08434863795456)
230,122500.0,POINT (-83.02117994700195 40.08716252934389)
231,127500.0,POINT (-83.02044048420828 40.0913024771253)
232,127500.0,POINT (-83.00583407778203 40.09081956921193)
233,132500.0,POINT (-83.00778671521138 40.09231142508336)
234,132500.0,POINT (-83.00449180431515 40.08856068904351)
235,137500.0,POINT (-83.00540992115475 40.09268127132255)
236,137500.0,POINT (-83.0052284187922 40.08871014619838)
237,142500.0,POINT (-83.01873973773043 40.09179635024699)
238,142500.0,POINT (-83.01804755804801 40.08630330148066)
239,147500.0,POINT (-83.0180344403897 40.08337130308572)
240,152500.0,POINT (-83.01278112215275 40.0899444314023)
241,157500.0,POINT (-83.01897231651728 40.08504013389532)
242,162500.0,POINT (-83.01902665190184 40.08688022506085)
243,167500.0,POINT (-83.00988513007435 40.08842114435038)
244,32500.0,POINT (-83.02751065245357 40.100054652734606)
245,37500.0,POINT (-83.0226537634931 40.108773740390006)
246,42500.0,POINT (-83.0189603821747 40.10129247211881)
247,47500.0,POINT (-83.0271933359349 40.10896155069972)
248,52500.0,POINT (-83.03093564335632 40.1091741888574)
249,52500.0,POINT (-83.0212228639475 40.111365088231324)
250,57500.0,POINT (-83.03421992459967 40.106526805244926)
251,57500.0,POINT (-83.02825230764518 40.104994041157866)
252,62500.0,POINT (-83.01717517350832 40.105979451439715)
253,62500.0,POINT (-83.03271055108092 40.10038549316805)
254,67500.0,POINT (-83.01927921802016 40.1088402378784)
255,67500.0,POINT (-83.02733617187278 40.098283732516826)
256,72500.0,POINT (-83.03373037946655 40.106209349963876)
257,72500.0,POINT (-83.02059043042613 40.1109865314119)
258,72500.0,POINT (-83.02048175524956 40.110070354764986)
259,77500.0,POINT (-83.02083750249241 40.10958712392849)
260,77500.0,POINT (-83.0272177430985 40.10397298885934)
261,77500.0,POINT (-83.02693972611168 40.10458458499598)
262,82500.0,POINT (-83.03329124395546 40.109077891249825)
263,82500.0,POINT (-83.01972241262031 40.097970349135295)
264,82500.0,POINT (-83.01898175882663 40.10931739389014)
265,87500.0,POINT (-83.03312117755826 40.100339192745814)
266,87500.0,POINT (-83.02021066980662 40.106008617399205)
267,87500.0,POINT (-83.02006886797649 40.09385031436101)
268,92500.0,POINT (-83.02712664521204 40.098683372493554)
269,92500.0,POINT (-83.01933511814454 40.094360128921544)
270,92500.0,POINT (-83.02530717738112 40.10014330620966)
271,92500.0,POINT (-83.02531777429319 40.10950025734161)
272,97500.0,POINT (-83.02319477835914 40.10102675359485)
273,97500.0,POINT (-83.0296321618298 40.09701988528479)
274,97500.0,POINT (-83.02790414176097 40.10959553689971)
275,97500.0,POINT (-83.03070357702626 40.102822598138964)
276,102500.0,POINT (-83.03330722057215 40.098421378396644)
277,102500.0,POINT (-83.03327299243115 40.102757809629814)
278,102500.0,POINT (-83.02412020476743 40.10843279546039)
279,102500.0,POINT (-83.03371640970468 40.1081866969419)
280,107500.0,POINT (-83.03382699922822 40.10186651434421)
281,107500.0,POINT (-83.0252710365052 40.10520891511627)
282,107500.0,POINT (-83.02969788821403 40.10674943407878)
283,107500.0,POINT (-83.02757052689164 40.1000830853818)
284,112500.0,POINT (-83.0191872564261 40.106461026555266)
285,112500.0,POINT (-83.01760691382573 40.10244651232794)
286,112500.0,POINT (-83.03063759396461 40.100750987489924)
287,112500.0,POINT (-83.02818786001549 40.10234289953564)
288,117500.0,POINT (-83.01850133848737 40.09506986074139)
289,117500.0,POINT (-83.01924636359958 40.10212594167313)
290,117500.0,POINT (-83.03029467978915 40.09600306704313)
291,117500.0,POINT (-83.01930015501257 40.09326623995533)
292,122500.0,POINT (-83.01877804086168 40.1015019315949)
293,122500.0,POINT (-83.02809051512327 40.09799714589315)
294,122500.0,POINT (-83.02009293426188 40.09964875985204)
295,122500.0,POINT (-83.01826595415358 40.09597234029593)
296,127500.0,POINT (-83.0226807751252 40.10769849868156)
297,127500.0,POINT (-83.0245367157262 40.10113808029338)
298,127500.0,POINT (-83.02164070839636 40.10132394570308)
299,127500.0,POINT (-83.03139827872519 40.1070194484928)
300,132500.0,POINT (-83.02018334045428 40.10936403761917)
301,132500.0,POINT (-83.02861458217859 40.10681336825727)
302,132500.0,POINT (-83.02557696807888 40.106547904308385)
303,132500.0,POINT (-83.03159425113421 40.096775252363614)
304,137500.0,POINT (-83.02381498462923 40.1041967648352)
305,137500.0,POINT (-83.03291161261801 40.09798683613158)
306,137500.0,POINT (-83.02010595332975 40.10558947753111)
307,142500.0,POINT (-83.02269395832965 40.102762936791905)
308,142500.0,POINT (-83.01952597222305 40.09649000607442)
309,142500.0,POINT (-83.0304278510186 40.098422136107956)
310,147500.0,POINT (-83.02225054056173 40.10947913938991)
311,147500.0,POINT (-83.01952590073752 40.1105367909589)
312,147500.0,POINT (-83.03135270778398 40.11173085044966)
313,152500.0,POINT (-83.03259656285518 40.10013080979258)
314,152500.0,POINT (-83.03248053540997 40.10712590898775)
315,152500.0,POINT (-83.01980877664809 40.10575998736142)
316,157500.0,POINT (-83.02561534579736 40.09750216831314)
317,157500.0,POINT (-83.02188393516592 40.0932746517422)
318,162500.0,POINT (-83.01906107684981 40.11150576266217)
319,162500.0,POINT (-83.03322712379361 40.106955196061314)
320,167500.0,POINT (-83.02533496621118 40.10863722451522)
321,167500.0,POINT (-83.02996664566207 40.106516880461406)
322,172500.0,POINT (-83.01757483217172 40.10747880953885)
323,177500.0,POINT (-83.03041268557102 40.101720167862084)
324,182500.0,POINT (-83.02057838910007 40.10522424378862)
325,187500.0,POINT (-83.03361451805378 40.09971711120975)
326,2500.0,POINT (-83.15008782589595 39.93966964652364)
327,2500.0,POINT (-83.1475187952456 39.945381697752666)
328,7500.0,POINT (-83.14497484031396 39.94678026672495)
329,7500.0,POINT (-83.14608558828147 39.93992226199715)
330,7500.0,POINT (-83.1515834610207 39.9417252903725)
331,12500.0,POINT (-83.14238404829845 39.94630142906744)
332,12500.0,POINT (-83.14950237538602 39.94372729609694)
333,12500.0,POINT (-83.15270622345962 39.93902629770039)
334,12500.0,POINT (-83.15068298168015 39.941870993954865)
335,17500.0,POINT (-83.14301343258215 39.940730667919496)
336,17500.0,POINT (-83.14489139086331 39.93487468631645)
337,17500.0,POINT (-83.15316376504309 39.933494538256646)
338,17500.0,POINT (-83.14387659546907 39.93939021630973)
339,22500.0,POINT (-83.15645983457334 39.93996752811894)
340,22500.0,POINT (-83.14666133298384 39.93487190444024)
341,22500.0,POINT (-83.15564337992646 39.944495700898756)
342,22500.0,POINT (-83.144849347716 39.94891272741225)
343,22500.0,POINT (-83.15015658943923 39.94517558795189)
344,27500.0,POINT (-83.14859760717462 39.93911789745892)
345,27500.0,POINT (-83.14765255792655 39.941743869668144)
346,27500.0,POINT (-83.14641416838354 39.93953429550317)
347,27500.0,POINT (-83.14268308023789 39.94490923468678)
348,27500.0,POINT (-83.15240661604922 39.94948238153189)
349,27500.0,POINT (-83.15429456214338 39.94155184857036)
350,32500.0,POINT (-83.14692375057341 39.944741922290305)
351,32500.0,POINT (-83.14730453761702 39.94415988826776)
352,32500.0,POINT (-83.15732425762289 39.93712989872751)
353,32500.0,POINT (-83.14901517828885 39.93576088124358)
354,32500.0,POINT (-83.1428778308693 39.948283515907164)
355,32500.0,POINT (-83.15702567105076 39.93377535213056)
356,32500.0,POINT (-83.15009309557229 39.93827956713781)
357,37500.0,POINT (-83.15558982448937 39.943718233935705)
358,37500.0,POINT (-83.15119665121615 39.94040929367402)
359,37500.0,POINT (-83.15347478669047 39.950198916759064)
360,37500.0,POINT (-83.14814016901603 39.93250879838112)
361,37500.0,POINT (-83.1538465468955 39.94194497596171)
362,37500.0,POINT (-83.1422400294351 39.94439120402948)
363,37500.0,POINT (-83.15090422899596 39.945703432562574)
364,37500.0,POINT (-83.15372355476401 39.94950460971726)
365,42500.0,POINT (-83.14276331529464 39.94281081031142)
366,42500.0,POINT (-83.15036131824489 39.9405902742962)
367,42500.0,POINT (-83.1563524779835 39.937526695636855)
368,42500.0,POINT (-83.14300421382028 39.947319340232056)
369,42500.0,POINT (-83.15427985175184 39.934093787819755)
370,42500.0,POINT (-83.14872326806474 39.94449140822698)
371,42500.0,POINT (-83.15239631264139 39.94427276451485)
372,42500.0,POINT (-83.14354709180586 39.94343928332352)
373,47500.0,POINT (-83.14225714327787 39.95064529887125)
374,47500.0,POINT (-83.14909359222372 39.93744589464222)
375,47500.0,POINT (-83.14808909517272 39.941583900951116)
376,47500.0,POINT (-83.15428944021797 39.94079304992681)
377,47500.0,POINT (-83.14367456576397 39.93930820366506)
378,47500.0,POINT (-83.14400782218425 39.94434881215304)
379,47500.0,POINT (-83.15267974587688 39.94205757155583)
380,47500.0,POINT (-83.14812916603555 39.939300602533145)
381,47500.0,POINT (-83.14576470068046 39.93616418833817)
382,52500.0,POINT (-83.15412076345761 39.94564408261972)
383,52500.0,POINT (-83.1534996862749 39.94135777820446)
384,52500.0,POINT (-83.15383179771864 39.949401541305434)
385,52500.0,POINT (-83.14773582807726 39.942290592164134)
386,52500.0,POINT (-83.15252393444653 39.931511143255314)
387,52500.0,POINT (-83.15294868065939 39.933332644882384)
388,52500.0,POINT (-83.14894744477282 39.936327368201574)
389,52500.0,POINT (-83.15392100957442 39.94857127053436)
390,52500.0,POINT (-83.15788397608497 39.932463124753326)
391,52500.0,POINT (-83.14997970947888 39.941759020885975)
392,57500.0,POINT (-83.14557869712938 39.95134209871511)
393,57500.0,POINT (-83.14605012421917 39.946748315021246)
394,57500.0,POINT (-83.14814066297491 39.93523291558771)
395,57500.0,POINT (-83.14537305601883 39.931732858529486)
396,57500.0,POINT (-83.1495635703952 39.9493211587102)
397,57500.0,POINT (-83.14815154892219 39.93550728168008)
398,57500.0,POINT (-83.15076739242049 39.93694933620556)
399,57500.0,POINT (-83.15095512745721 39.94662432402858)
400,57500.0,POINT (-83.15370931384838 39.94980229235009)
401,57500.0,POINT (-83.15144980776633 39.947604378860454)
402,57500.0,POINT (-83.1568141680331 39.93574444356999)
403,62500.0,POINT (-83.15131520057085 39.95041012850211)
404,62500.0,POINT (-83.14562002429447 39.943144347843585)
405,62500.0,POINT (-83.15288849064774 39.9469485533026)
406,62500.0,POINT (-83.15648855310701 39.93625061481831)
407,62500.0,POINT (-83.15713585152379 39.93369720714744)
408,62500.0,POINT (-83.1471600425924 39.932733828666194)
409,62500.0,POINT (-83.14516345572927 39.932135727497105)
410,62500.0,POINT (-83.14590575158324 39.93757069733119)
411,62500.0,POINT (-83.1563051711763 39.93580827000847)
412,62500.0,POINT (-83.14401573129469 39.94572545294503)
413,62500.0,POINT (-83.15068601815646 39.93480888491622)
414,67500.0,POINT (-83.14373905859371 39.94926036722905)
415,67500.0,POINT (-83.15513763290537 39.93898859489286)
416,67500.0,POINT (-83.14638005303316 39.93259747783827)
417,67500.0,POINT (-83.15178311771288 39.93868109902083)
418,67500.0,POINT (-83.14837587550771 39.94743060351613)
419,67500.0,POINT (-83.14311795695657 39.94501166564271)
420,67500.0,POINT (-83.15002894589368 39.93881922184472)
421,67500.0,POINT (-83.14422202479105 39.94078407554943)
422,67500.0,POINT (-83.1482922253701 39.94716211030707)
423,67500.0,POINT (-83.15544479853689 39.9432807985607)
424,67500.0,POINT (-83.15227963903908 39.94782005281823)
425,67500.0,POINT (-83.15695444899278 39.93286481030236)
426,72500.0,POINT (-83.1507980020097 39.9396694154864)
427,72500.0,POINT (-83.14911371774627 39.93385142165353)
428,72500.0,POINT (-83.1548205225212 39.932941466508666)
429,72500.0,POINT (-83.15576842896368 39.94149926273566)
430,72500.0,POINT (-83.14604771327097 39.94293631654452)
431,72500.0,POINT (-83.14947973503602 39.95058739360539)
432,72500.0,POINT (-83.14623216017563 39.93647079799915)
433,72500.0,POINT (-83.14444354313896 39.936970862609925)
434,72500.0,POINT (-83.14286653043492 39.94301264834783)
435,72500.0,POINT (-83.15217871922977 39.93161353808035)
436,72500.0,POINT (-83.1499226543515 39.9468860006925)
437,72500.0,POINT (-83.15278634489248 39.948271496569035)
438,77500.0,POINT (-83.1478044109691 39.94534868011388)
439,77500.0,POINT (-83.1469980950805 39.95127625184254)
440,77500.0,POINT (-83.14734372870566 39.944455717062326)
441,77500.0,POINT (-83.1511621574279 39.94738944557659)
442,77500.0,POINT (-83.15299384585389 39.94997822209818)
443,77500.0,POINT (-83.15583322964173 39.93428258615338)
444,77500.0,POINT (-83.14267876786094 39.94451447174832)
445,77500.0,POINT (-83.14296609161651 39.94843188855672)
446,77500.0,POINT (-83.14662990405026 39.9447240588214)
447,77500.0,POINT (-83.14618288030097 39.94070542831216)
448,77500.0,POINT (-83.14280762805008 39.94404330505465)
449,77500.0,POINT (-83.1522458372532 39.93876110831638)
450,82500.0,POINT (-83.15151122071745 39.93642826137861)
