id,latitude,longitude,polygon,income
0,4857100.957723935,-9236047.115458656,"POLYGON ((-9236047.115378655 4857100.957823935, -9236047.115538657 4857100.957823935, -9236047.115538657 4857100.957623935, -9236047.115378655 4857100.957623935, -9236047.115378655 4857100.957823935))",35k to 40k
1,4856459.929194771,-9235672.58982607,"POLYGON ((-9235662.58982607 4856469.929194771, -9235682.58982607 4856469.929194771, -9235682.58982607 4856449.929194771, -9235662.58982607 4856449.929194771, -9235662.58982607 4856469.929194771))",35k to 40k
2,4856679.686239755,-9235794.55105877,"POLYGON ((-9235784.55105877 4856689.686239754, -9235804.55105877 4856689.686239754, -9235804.55105877 4856669.686239754, -9235784.55105877 4856669.686239754, -9235784.55105877 4856689.686239754))",45k to 50k
3,4856578.1996306125,-9235731.487552527,"POLYGON ((-9235721.487552525 4856588.1996306125, -9235741.487552525 4856588.1996306125, -9235741.487552525 4856568.1996306125, -9235721.487552525 4856568.1996306125, -9235721.487552525 4856588.1996306125))",40k to 45k
4,4857392.399213638,-9235500.381538114,"POLYGON ((-9235490.381538114 4857402.399213638, -9235510.381538114 4857402.399213638, -9235510.381538114 4857382.399213638, -9235490.381538114 4857382.399213638, -9235490.381538114 4857402.399213638))",75k to 100k
5,4856735.128394036,-9236567.92766128,"POLYGON ((-9236557.92766128 4856745.128394036, -9236577.92766128 4856745.128394036, -9236577.92766128 4856725.128394036, -9236557.92766128 4856725.128394036, -9236557.92766128 4856745.128394036))",75k to 100k
6,4857496.5217216965,-9235545.674284507,"POLYGON ((-9235535.674284505 4857506.521721696, -9235555.674284505 4857506.521721696, -9235555.674284505 4857486.521721696, -9235535.674284505 4857486.521721696, -9235535.674284505 4857506.521721696))",20k to 25k
7,4856563.703628924,-9236527.022926718,"POLYGON ((-9236517.022926718 4856573.703628924, -9236537.022926718 4856573.703628924, -9236537.022926718 4856553.703628924, -9236517.022926718 4856553.703628924, -9236517.022926718 4856573.703628924))",20k to 25k
8,4856890.102768878,-9236134.381548766,"POLYGON ((-9236124.381548764 4856900.102768878, -9236144.381548764 4856900.102768878, -9236144.381548764 4856880.102768878, -9236124.381548764 4856880.102768878, -9236124.381548764 4856900.102768878))",150k to 200k
9,4856788.40774267,-9235792.646753825,"POLYGON ((-9235782.646753825 4856798.407742671, -9235802.646753825 4856798.407742671, -9235802.646753825 4856778.407742671, -9235782.646753825 4856778.407742671, -9235782.646753825 4856798.407742671))",15k to 20k
10,4857426.806692636,-9236355.614606002,"POLYGON ((-9236345.614606002 4857436.806692635, -9236365.614606002 4857436.806692635, -9236365.614606002 4857416.806692635, -9236345.614606002 4857416.806692635, -9236345.614606002 4857436.806692635))",60k to 75k
11,4857602.499627321,-9235736.714126233,"POLYGON ((-9235726.714126231 4857612.499627321, -9235746.714126231 4857612.499627321, -9235746.714126231 4857592.499627321, -9235726.714126231 4857592.499627321, -9235726.714126231 4857612.499627321))",15k to 20k
12,4856838.767899891,-9235673.762328714,"POLYGON ((-9235663.762328714 4856848.767899891, -9235683.762328714 4856848.767899891, -9235683.762328714 4856828.767899891, -9235663.762328714 4856828.767899891, -9235663.762328714 4856848.767899891))",25k to 30k
13,4856508.166230339,-9235842.117149066,"POLYGON ((-9235832.117149066 4856518.166230339, -9235852.117149066 4856518.166230339, -9235852.117149066 4856498.166230339, -9235832.117149066 4856498.166230339, -9235832.117149066 4856518.166230339))",40k to 45k
14,4857160.077925847,-9235542.892041078,"POLYGON ((-9235532.892041078 4857170.077925847, -9235552.892041078 4857170.077925847, -9235552.892041078 4857150.077925847, -9235532.892041078 4857150.077925847, -9235532.892041078 4857170.077925847))",under 10k
15,4857252.602751304,-9236357.434055254,"POLYGON ((-9236347.434055254 4857262.602751304, -9236367.434055254 4857262.602751304, -9236367.434055254 4857242.602751304, -9236347.434055254 4857242.602751304, -9236347.434055254 4857262.602751304))",40k to 45k
16,4856802.84975157,-9236515.380071396,"POLYGON ((-9236505.380071396 4856812.84975157, -9236525.380071396 4856812.84975157, -9236525.380071396 4856792.84975157, -9236505.380071396 4856792.84975157, -9236505.380071396 4856812.84975157))",45k to 50k
17,4857457.401292065,-9236346.920057496,"POLYGON ((-9236336.920057496 4857467.401292065, -9236356.920057496 4857467.401292065, -9236356.920057496 4857447.401292065, -9236336.920057496 4857447.401292065, -9236336.920057496 4857467.401292065))",under 10k
18,4856684.519184704,-9235844.874279765,"POLYGON ((-9235834.874279765 4856694.519184704, -9235854.874279765 4856694.519184704, -9235854.874279765 4856674.519184704, -9235834.874279765 4856674.519184704, -9235834.874279765 4856694.519184704))",60k to 75k
19,4857090.0755034,-9235845.786917543,"POLYGON ((-9235835.786917543 4857100.0755034, -9235855.786917543 4857100.0755034, -9235855.786917543 4857080.0755034, -9235835.786917543 4857080.0755034, -9235835.786917543 4857100.0755034))",100k to 125k
20,4857224.56798523,-9235759.507760381,"POLYGON ((-9235749.507760381 4857234.56798523, -9235769.507760381 4857234.56798523, -9235769.507760381 4857214.56798523, -9235749.507760381 4857214.56798523, -9235749.507760381 4857234.56798523))",50k to 60k
21,4857595.550788704,-9236366.473684007,"POLYGON ((-9236356.473684007 4857605.550788704, -9236376.473684007 4857605.550788704, -9236376.473684007 4857585.550788704, -9236356.473684007 4857585.550788704, -9236356.473684007 4857605.550788704))",10k to 15k
22,4857181.196886001,-9236381.174381113,"POLYGON ((-9236371.17438111 4857191.196886002, -9236391.17438111 4857191.196886002, -9236391.17438111 4857171.196886002, -9236371.17438111 4857171.196886002, -9236371.17438111 4857191.196886002))",10k to 15k
